326704	,	842816,NJ2670442816,57.469663,-3.2236510
393840	,	805021,NJ9384005021,57.136054,-2.1034063
386065.6	,	786460.5,NO8606586460,56.969148,-2.2308210
320890	,	862610,NJ2089062610,57.646436,-3.3270050
392286	,	804794,NJ9228604794,57.133991,-2.1290733
392487	,	807420,NJ9248707420,57.157584,-2.1258329
394492.23	,	806589.39,NJ9449206589,57.150148,-2.0926697
390848.14	,	806047.07,NJ9084806047,57.145220,-2.1528761
238067	,	675883,NS3806775883,55.948613,-4.5948098
238439	,	680824,NS3843980824,55.993086,-4.5918247
224623.63	,	675929.12,NS2462375929,55.944307,-4.8098550
249800.63	,	661444.48,NS4980061444,55.822806,-4.3990941
247423	,	662910,NS4742362910,55.835221,-4.4378215
224623	,	675930,NS2462375930,55.944316,-4.8098557
250679	,	667816,NS5067967816,55.880281,-4.3885852
258322	,	665974,NS5832265974,55.866053,-4.2655526
260185	,	665688,NS6018565688,55.864030,-4.2356604
260402	,	665817,NS6040265817,55.865251,-4.2322624
264560	,	665171,NS6456065171,55.860637,-4.1655515
260799	,	663738,NS6079963738,55.846700,-4.2248566
264000	,	664020,NS6400064020,55.850145,-4.1739142
266760	,	666274,NS6676066274,55.871154,-4.1309712
261277	,	668868,NS6127768868,55.892896,-4.2198557
257050	,	668515,NS5705068515,55.888490,-4.2872023
259222	,	668186,NS5922268186,55.886176,-4.2523334
251890	,	662768,NS5189062768,55.835338,-4.3664873
253820	,	654434,NS5382054434,55.761108,-4.3312225
258200	,	661808,NS5820061808,55.828615,-4.2653228
253769	,	665746,NS5376965746,55.862646,-4.3381184
259441	,	664351,NS5944164351,55.851810,-4.2468453
256242	,	661639,NS5624261639,55.826519,-4.2964637
255433	,	667983,NS5543367983,55.883231,-4.3127488
254891	,	667924,NS5489167924,55.882538,-4.3213740
256011	,	667834,NS5601167834,55.882066,-4.3034375
253655	,	665616,NS5365565616,55.861444,-4.3398681
255434	,	667982,NS5543467982,55.883222,-4.3127323
262798.28	,	664297.14,NS6279864297,55.852292,-4.1932383
260720	,	664287,NS6072064287,55.851606,-4.2263992
256437.5	,	666582.25,NS5643766582,55.870954,-4.2959697
256359	,	664655,NS5635964655,55.853630,-4.2961938
256703	,	657579,NS5670357579,55.790206,-4.2869717
253194	,	670969,NS5319470969,55.909360,-4.3501307
257362	,	668359,NS5736268359,55.887182,-4.2821359
265957.5	,	674018.06,NS6595774018,55.940461,-4.1476352
265860	,	674033,NS6586074033,55.940568,-4.1491945
258240	,	668030,NS5824068030,55.884487,-4.2679381
254720	,	670969,NS5472070969,55.909823,-4.3257410
254355	,	669329,NS5435569329,55.894990,-4.3306912
261622	,	668716,NS6162268716,55.891630,-4.2142657
261028	,	668876,NS6102868876,55.892896,-4.2238381
250920	,	669408,NS5092069408,55.894647,-4.3856134
186468	,	687785,NR8646887785,56.035206,-5.4291168
217324	,	677908,NS1732477908,55.959345,-4.9279055
131615	,	659676,NR3161559676,55.755788,-6.2792347
208723	,	663909,NS0872363909,55.830398,-5.0555740
208772	,	663527,NS0877263527,55.826990,-5.0545240
185665	,	728549,NM8566528549,56.400419,-5.4749387
172003	,	619995,NR7200319995,55.420667,-5.6042790
310580	,	967264,ND1058067264,58.584138,-3.5396698
336130	,	950861,ND3613050861,58.441361,-3.0957388
335965	,	949904,ND3596549904,58.432744,-3.0982967
282528	,	899920,NH8252899920,57.972983,-3.9876710
266262	,	844463,NH6626244463,57.470648,-4.2315729
268618	,	844740,NH6861844740,57.473823,-4.1924716
288120	,	855775,NH8812055775,57.578125,-3.8725601
303534	,	828518,NJ0353428518,57.336941,-3.6041686
275425	,	801182,NH7542501182,57.084726,-4.0571142
210613	,	774069,NN1061374069,56.819427,-5.1047149
210346	,	759082,NN1034659082,56.684878,-5.0979850
164000	,	823875,NG6400023875,57.244504,-5.9133775
148283	,	843314,NG4828343314,57.410282,-6.1929471
255614	,	858620,NH5561458620,57.594435,-4.4173422
271838	,	869426,NH7183869426,57.696328,-4.1518696
268365	,	844797,NH6836544797,57.474261,-4.1967176
263973.4	,	844332.7,NH6397344332,57.468791,-4.2696325
187170	,	688509,NR8717088509,56.042012,-5.4184459
157231	,	742923,NM5723142923,56.515501,-5.9479206
261211.55	,	891509.96,NH6121191509,57.891360,-4.3428129
171280	,	738116,NM7128038116,56.479446,-5.7158861
289985.59	,	813433.56,NH8998513433,57.198434,-3.8224223
269283	,	845115,NH6928345115,57.477381,-4.1815925
273258	,	663570,NS7325863570,55.848628,-4.0259326
270934	,	677913,NS7093477913,55.976796,-4.0698783
278644	,	665669,NS7864465669,55.868862,-3.9409024
274962	,	665442,NS7496265442,55.865882,-3.9995981
280549	,	658367,NS8054958367,55.803767,-3.9072650
284273	,	658958,NS8427358958,55.809981,-3.8481399
304351	,	637599,NT0435137599,55.622533,-3.5204380
284094	,	630932,NS8409430932,55.558251,-3.8391396
289409	,	643247,NS8940943247,55.670088,-3.7598695
286252	,	649954,NS8625249954,55.729591,-3.8128224
274539	,	656388,NS7453956388,55.784472,-4.0021707
270699	,	659552,NS7069959552,55.811870,-4.0648629
275714	,	656143,NS7571456143,55.782576,-3.9833350
260668	,	654078,NS6066854078,55.759933,-4.2219993
274892	,	646122,NS7489246122,55.692379,-3.9918428
269573	,	655744,NS6957355744,55.777375,-4.0809926
272763	,	663577,NS7276363577,55.848560,-4.0338366
271358	,	656250,NS7135856250,55.782397,-4.0527936
278294	,	655081,NS7829455081,55.773696,-3.9417487
262227	,	653812,NS6222753812,55.757991,-4.1970409
366560	,	678231,NT6656078231,55.995861,-2.5376825
320690	,	672942,NT2069072942,55.942953,-3.2713571
335375	,	672016,NT3537572016,55.936837,-3.0360712
355361	,	684972,NT5536184972,56.055508,-2.7183328
350897	,	674417,NT5089774417,55.960246,-2.7880690
323113	,	674643,NT2311374643,55.958627,-3.2330600
323004	,	674999,NT2300474999,55.961807,-3.2349072
325280	,	671364,NT2528071364,55.929515,-3.1974508
325251	,	673042,NT2525173042,55.944583,-3.1983802
325251	,	672987,NT2525172987,55.944089,-3.1983649
327952	,	669029,NT2795269029,55.908948,-3.1540725
324125	,	671126,NT2412571126,55.927196,-3.2158646
324822	,	673413,NT2482273413,55.947849,-3.2053507
324124	,	671127,NT2412471127,55.927205,-3.2158809
325521	,	662255,NT2552162255,55.847727,-3.1910850
333603	,	664899,NT3360364899,55.872661,-3.0626812
326256	,	673008,NT2625673008,55.944434,-3.1822837
301041	,	676913,NT0104176913,55.974971,-3.5872816
294512	,	666131,NS9451266131,55.876748,-3.6876367
294398	,	665053,NS9439865053,55.867042,-3.6890375
305077	,	667692,NT0507767692,55.892967,-3.5193897
326855	,	675636,NT2685575636,55.968132,-3.1734096
323303	,	676130,NT2330376130,55.972015,-3.2304415
297352	,	668862,NS9735268862,55.901889,-3.6433015
324295	,	671309,NT2429571309,55.928867,-3.2131960
328227	,	669094,NT2822769094,55.909573,-3.1496918
327699	,	669148,NT2769969148,55.909979,-3.1581505
328660	,	675606,NT2866075606,55.968135,-3.1444909
325252	,	672986,NT2525272986,55.944081,-3.1983486
294519	,	664643,NS9451964643,55.863386,-3.6869453
331897	,	665770,NT3189765770,55.880247,-3.0901591
350336	,	674073,NT5033674073,55.957098,-2.7969901
296304	,	645949,NS9630445949,55.695878,-3.6513200
248478	,	670809,NS4847870809,55.906461,-4.4254112
344590	,	1010016,HY4459010016,58.973702,-2.9654449
446981	,	1141029,HU4698141029,60.151058,-1.1556643
339005.12	,	730389.6,NO3900530389,56.461680,-2.9914116
339391	,	732165,NO3939132165,56.477683,-2.9855621
337629	,	730504,NO3762930504,56.462532,-3.0137646
339742	,	730011,NO3974230011,56.458379,-2.9793663
338323	,	735165,NO3832335165,56.504491,-3.0036091
339322	,	732161,NO3932232161,56.477638,-2.9866811
338960	,	729885,NO3896029885,56.457146,-2.9920237
340847	,	731565,NO4084731565,56.472478,-2.9617920
339328	,	730688,NO3932830688,56.464407,-2.9862405
337628	,	730505,NO3762830505,56.462541,-3.0137810
310411	,	723623,NO1041123623,56.396341,-3.4529653
293688	,	712587,NN9368812587,56.293767,-3.7192900
285932	,	748951,NN8593248951,56.618488,-3.8604321
317409	,	744585.83,NO1740944585,56.585887,-3.3462861
312939.65	,	724017.75,NO1293924017,56.400352,-3.4121563
313174	,	726281,NO1317426281,56.420729,-3.4091017
363406	,	740444,NO6340640444,56.554539,-2.5968893
